Project Name,Package Name,Type Name,MethodName,LOC,CC,PC
app,application.controller,Controller,init,36,5,0
app,application.controller,Controller,hideAllMessages,7,1,0
app,application.controller,Controller,aggiungiPersona,18,3,0
app,application.controller,Controller,rimuoviPersona,16,3,0
app,application.controller,Controller,registraVendita,50,6,0
app,application.controller,Controller,registraPagamento,37,4,0
app,application.controller,Controller,registraRifornimento,32,3,0
app,application.controller,Controller,updatePersonaleCB,11,1,0
app,application.controller,Controller,updatePagamentoCB,8,1,0
app,application.controller,Controller,updateVenditeTab,6,2,0
app,application.controller,Controller,updateRifornimentiTab,6,2,0
app,application.controller,Controller,updatePagamentiTab,6,2,0
app,application.controller,Controller,updateDebitiTab,10,3,0
app,application.controller,Controller,updateMagazzinoTab,4,1,1
app,application.controller,Controller,resetVendita,7,1,0
app,application.controller,Controller,resetPagamento,5,1,0
app,application.controller,Controller,resetRifornimento,5,1,0
app,application.controller,Controller,saveAllInFile,2,1,0
app,application,Main,start,19,1,1
app,application,Main,main,3,1,1
app,application,Main,stop,3,1,0
app,application.model,Cassa,Cassa,3,1,0
app,application.model,Cassa,load,16,4,1
app,application.model,Cassa,riceviPagamento,5,2,1
app,application.model,Cassa,effettuaPagamento,5,2,1
app,application.model,Cassa,getDisponibilita,3,1,0
app,application.model,Cassa,toString,3,1,0
app,application.model,Cassa,print,3,1,0
app,application.model.rifornimenti,Magazzino,Magazzino,9,1,0
app,application.model.rifornimenti,Magazzino,getRifornimenti,3,1,0
app,application.model.rifornimenti,Magazzino,load,19,5,1
app,application.model.rifornimenti,Magazzino,numeroCialdeDisponibili,3,1,1
app,application.model.rifornimenti,Magazzino,aggiungiRifornimento,6,2,2
app,application.model.rifornimenti,Magazzino,rimuoviCialde,5,2,2
app,application.model.rifornimenti,Magazzino,print,5,2,0
app,application.model.rifornimenti,Rifornimenti,Rifornimenti,3,1,0
app,application.model.rifornimenti,Rifornimenti,getRifornimenti,3,1,0
app,application.model.rifornimenti,Rifornimenti,load,16,5,1
app,application.model.rifornimenti,Rifornimenti,addRifornimento,3,1,2
app,application.model.rifornimenti,Rifornimenti,print,5,2,0
app,application.model.rifornimenti,Rifornimento,Rifornimento,3,1,2
app,application.model.rifornimenti,Rifornimento,Rifornimento,5,1,3
