Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT
app,application.controller,Controller,49,0,18,11,295,41,0,0,0.1111111111111111,1,11
app,application,Main,4,0,3,3,30,3,0,0,0.6666666666666666,0,1
app,application.model,Cassa,1,0,7,7,41,12,0,0,0.0,2,1
app,application.model.rifornimenti,Magazzino,2,0,7,7,54,14,0,0,0.0,3,1
app,application.model.rifornimenti,Rifornimenti,1,0,5,5,33,10,0,0,0.0,2,0
app,application.model.rifornimenti,Rifornimento,3,0,6,6,25,6,0,0,0.0,5,0
app,application.model.utenti,Cliente,1,0,4,4,18,6,2,0,0.0,5,1
app,application.model.utenti,PagamentoDebito,3,0,6,6,26,7,0,0,0.0,5,2
app,application.model.utenti,Persona,2,1,7,7,31,9,0,1,0.42857142857142855,8,1
app,application.model.utenti,Personale,2,0,9,9,64,22,0,0,0.0,2,2
app,application.model.utenti,Visitatore,0,0,1,1,5,1,0,1,-1.0,1,0
app,application.model.vendite,Vendita,5,0,8,8,35,8,0,0,0.0,5,1
app,application.model.vendite,Vendite,1,0,6,6,36,11,0,0,0.0,2,1
app,application.persistence,CassaDAO,0,0,2,0,4,2,1,0,-1.0,0,1
app,application.persistence,CassaDAOImpl,0,0,4,3,43,6,0,1,-1.0,0,2
app,application.persistence,DBManager,3,0,1,1,8,1,0,0,0.0,6,0
app,application.persistence,MagazzinoDAO,0,0,2,0,4,2,1,0,-1.0,0,0
app,application.persistence,MagazzinoDAOImpl,0,0,4,3,51,7,0,1,-1.0,0,1
app,application.persistence,PagamentoDebitoDAO,0,0,2,0,4,2,1,0,-1.0,0,1
app,application.persistence,PagamentoDebitoDAOImpl,0,0,4,3,42,5,0,1,-1.0,0,2
app,application.persistence,PersonaleDAO,0,0,4,0,6,4,1,0,-1.0,0,1
app,application.persistence,PersonaleDAOImpl,0,0,6,5,61,7,0,1,-1.0,0,2
app,application.persistence,RifornimentoDAO,0,0,2,0,4,2,1,0,-1.0,0,1
app,application.persistence,RifornimentoDAOImpl,0,0,4,3,42,5,0,1,-1.0,0,2
app,application.persistence,VenditaDAO,0,0,2,0,4,2,1,0,-1.0,0,1
app,application.persistence,VenditaDAOImpl,0,0,4,3,46,5,0,1,-1.0,0,2
app,application.utils,Euro,1,0,9,9,35,12,0,0,0.0,11,1
app,application.utils,Utils,0,0,11,11,94,14,0,0,-1.0,2,7
app,test,TestCassa,1,0,11,0,56,11,0,0,0.0,0,2
app,test,TestEuro,2,0,14,1,57,14,0,0,0.0,0,1
app,test,TestMagazzino,1,0,11,0,64,13,0,0,0.0,0,1
app,test,TestPagamentoDebito,3,0,6,0,33,6,0,0,0.0,0,1
app,test,TestPersona,2,0,16,0,63,16,0,0,0.125,0,2
app,test,TestPersonale,1,0,15,0,104,25,0,0,0.0,0,2
app,test,TestRifornimenti,5,0,6,0,45,8,0,0,0.0,0,1
app,test,TestRifornimento,3,0,5,0,25,5,0,0,0.0,0,1
app,test,TestVendita,3,0,7,7,30,7,0,0,0.0,0,1
app,test,TestVendite,3,0,9,0,55,9,0,0,0.0,0,1
app,test,TestVisitatore,1,0,7,0,25,7,0,0,0.0,0,1
